t soma.v(0.5)
 1026.35 -34.6831
 1026.37 -34.6593
 1026.39 -34.6348
 1026.42 -34.6097
 1026.44 -34.5837
 1026.46 -34.5568
 1026.48 -34.5287
 1026.5 -34.499
 1026.52 -34.4675
 1026.54 -34.4456
 1026.55 -34.4225
 1026.57 -34.3979
 1026.58 -34.3716
 1026.59 -34.3523
 1026.6 -34.332
 1026.61 -34.3104
 1026.62 -34.2875
 1026.63 -34.2631
 1026.64 -34.237
 1026.65 -34.2091
 1026.66 -34.1794
 1026.67 -34.1476
 1026.69 -34.0851
 1026.7 -34.0157
 1026.72 -33.9395
 1026.74 -33.8568
 1026.76 -33.7682
 1026.78 -33.6745
 1026.8 -33.5258
 1026.83 -33.37
 1026.85 -33.21
 1026.88 -33.0479
 1026.91 -32.8859
 1026.95 -32.6452
 1026.99 -32.4119
 1027.03 -32.1884
 1027.09 -31.8684
 1027.15 -31.5771
 1027.21 -31.3144
 1027.27 -31.0794
 1027.33 -30.8707
 1027.39 -30.6867
 1027.5 -30.4193
 1027.61 -30.2139
 1027.71 -30.0629
 1027.82 -29.9602
 1027.93 -29.9008
 1028.1 -29.8839
 1028.27 -29.9475
 1028.44 -30.0768
 1028.6 -30.259
 1028.77 -30.4828
 1028.94 -30.7383
 1029.11 -31.017
 1029.28 -31.3106
 1029.45 -31.6119
 1029.62 -31.9145
 1029.79 -32.2132
 1029.96 -32.5041
 1030.13 -32.7844
 1030.3 -33.0526
 1030.47 -33.308
 1030.64 -33.5506
 1030.81 -33.7808
 1030.98 -33.9993
 1031.24 -34.3219
 1031.51 -34.6209
 1031.78 -34.8998
 1032.05 -35.1628
 1032.31 -35.4137
 1032.58 -35.6558
 1033.01 -36.0337
 1033.44 -36.4078
 1033.87 -36.7884
 1034.3 -37.1839
 1034.73 -37.6024
 1034.83 -37.7114
 1034.94 -37.8227
 1035.05 -37.9364
 1035.22 -38.1238
 1035.39 -38.3189
 1035.5 -38.4431
 1035.6 -38.5713
 1035.71 -38.7039
 1035.81 -38.8417
 1035.92 -38.9855
 1036.02 -39.1363
 1036.13 -39.2953
 1036.23 -39.4636
 1036.34 -39.6427
 1036.44 -39.8336
 1036.55 -40.0371
 1036.65 -40.2538
 1036.76 -40.4835
 1036.86 -40.7255
 1036.97 -40.9791
 1037.07 -41.243
 1037.18 -41.5163
 1037.28 -41.798
 1037.39 -42.0871
 1037.55 -42.54
 1037.71 -43.0043
 1037.87 -43.4761
 1038.03 -43.9517
 1038.19 -44.4277
 1038.35 -44.901
 1038.51 -45.369
 1038.67 -45.8294
 1038.83 -46.2809
 1038.99 -46.7221
 1039.16 -47.1525
 1039.32 -47.5713
 1039.48 -47.9784
 1039.64 -48.3736
 1039.8 -48.7567
 1039.96 -49.1279
 1040.12 -49.4874
 1040.28 -49.8352
 1040.44 -50.1715
 1040.6 -50.4965
 1040.76 -50.8103
 1040.92 -51.1131
 1041.08 -51.405
 1041.24 -51.6866
 1041.4 -51.958
 1041.56 -52.2197
 1041.72 -52.4723
 1041.88 -52.716
 1042.04 -52.9515
 1042.2 -53.1792
 1042.36 -53.3997
 1042.52 -53.6134
 1042.68 -53.8208
 1042.85 -54.0225
 1043.01 -54.219
 1043.17 -54.4107
 1043.33 -54.5981
 1043.49 -54.7815
 1043.65 -54.9612
 1043.81 -55.1376
 1043.97 -55.3108
 1044.13 -55.481
 1044.29 -55.6483
 1044.45 -55.8128
 1044.61 -55.9747
 1044.77 -56.1341
 1044.93 -56.2912
 1045.09 -56.4459
 1045.25 -56.5985
 1045.41 -56.749
 1045.57 -56.8974
 1045.73 -57.0436
 1045.89 -57.1875
 1046.14 -57.4073
 1046.4 -57.6206
 1046.65 -57.8269
 1046.9 -58.0258
 1047.15 -58.2169
 1047.4 -58.4002
 1047.65 -58.5757
 1047.9 -58.7435
 1048.32 -59.0114
 1048.75 -59.2598
 1049.17 -59.4916
 1049.6 -59.7097
 1050.02 -59.917
 1050.45 -60.1156
 1050.87 -60.3068
 1051.13 -60.4198
 1051.39 -60.5303
 1051.65 -60.6386
 1051.9 -60.7445
 1052.16 -60.8483
 1052.42 -60.9497
 1052.68 -61.0488
 1052.94 -61.1457
 1053.2 -61.2402
 1053.45 -61.3325
 1053.71 -61.4225
 1053.97 -61.5102
 1054.23 -61.5957
 1054.62 -61.7218
 1055.02 -61.8425
 1055.41 -61.9577
 1055.81 -62.0673
 1056.2 -62.1711
 1056.59 -62.2692
 1056.99 -62.3616
 1057.38 -62.4486
 1057.78 -62.5307
 1058.17 -62.6083
 1058.57 -62.6819
 1058.96 -62.752
 1059.35 -62.8188
 1059.75 -62.8827
 1060.14 -62.944
 1060.54 -63.0033
 1060.78 -63.0394
 1061.03 -63.075
 1061.28 -63.1101
 1061.52 -63.1446
 1061.77 -63.1788
 1062.02 -63.2125
 1062.27 -63.2458
 1062.51 -63.2786
